,State,State Rate,Bracket,Income
10,Hawaii,0.0825,102000.0,15096.00615152269
4,California,0.09300000000000001,272344.0,15097.345818972492
47,West Virginia,0.06,20000.0,15115.740840590974
15,Kansas,0.057,30000.0,15119.413197096745
48,Wisconsin,0.053,276540.0,15121.227577691174
36,Oregon,0.0875,114800.0,15121.242535902655
7,Delaware,0.0555,35000.0,15122.15699867463
25,Montana,0.0675,21600.0,15122.331865201546
45,Vergina,0.0575,17000.0,15124.657879554117
31,New York,0.055,66750.0,15126.244047767259
39,South Carolina,0.065,16040.0,15126.867666464688
50,District Of Columbia,0.06,30000.0,15127.476590590974
30,New Mexico,0.049,194000.0,15128.098902778802
9,Georgia,0.0575,7000.0,15129.555579554117
46,Washington,0.07,0.0,15129.960134738403
6,Connect,0.05,40000.0,15129.989746443545
3,Arkansas ,0.049,8500.0,15130.601318028801
14,Iowa,0.0482,24000.0,15130.622048977008
24,Missouri,0.0495,7847.0,15130.881300861423
18,Maine,0.057999999999999996,24500.0,15131.777001761488
11,Idaho,0.057999999999999996,0.0,15131.777001761488
35,Oklahoma,0.0475,7200.0,15131.833055375437
0,Alabama,0.05,3000.0,15131.888846443544
22,Minnesota,0.0535,30070.0,15132.458326895145
19,Maryland,0.0475,97000.0,15132.467520406688
17,Louisiana,0.035,37500.0,15132.9476395974
20,Massachusetts,0.05,1000000.0,15132.988246443545
23,Mississippi,0.05,10000.0,15132.988246443545
12,Illinois,0.0495,0.0,15133.063949236173
43,Utah,0.048499999999999995,0.0,15133.21535482143
32,North Carolina,0.0475,0.0,15133.366760406687
16,Kentucky,0.045,0.0,15133.74527436983
5,Colorado,0.044000000000000004,0.0,15133.896679955087
21,Michigan,0.0425,0.0,15134.123788332972
26,Nebraska,0.0351,18470.0,15134.334309144075
38,Rhode Island,0.0375,68200.0,15134.880816259258
44,Vermont,0.0335,42150.0,15135.486438600286
13,Indiana,0.0315,0.0,15135.7892497708
37,Pennsylvania,0.030699999999999998,0.0,15135.910374239005
34,Ohio,0.02765,20050.0,15136.37216127404
2,Arizona,0.025,0.0,15136.77338607497
29,New Jersey,0.013999999999999999,20000.0,15138.438847512798
33,North Dakota,0.011000000000000001,41775.0,15138.89306426857
42,Texas,0.0,0.0,15140.558525706398
40,South Dakota,0.0,0.0,15140.558525706398
28,New Hampshire,0.0,0.0,15140.558525706398
49,Wyoming,0.0,0.0,15140.558525706398
27,Nevada,0.0,0.0,15140.558525706398
1,Alaska,0.0,0.0,15140.558525706398
41,Tennessee,0.0,0.0,15140.558525706398
8,Florida,0.0,0.0,15140.558525706398
